zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Zona Austral,Pobreza multidimensional,Rural,Hombre,Mayor (60+),IV,35.0,2
Zona Austral,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),I,13.0,1
Zona Austral,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),II,33.0,2
Zona Austral,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),III,69.0,3
Zona Austral,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),IV,10.0,1
Zona Austral,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),V,41.0,1
Zona Austral,Pobreza multidimensional,Rural,Mujer,Joven (≤29),III,27.0,1
Zona Austral,Pobreza multidimensional,Rural,Mujer,Mayor (60+),I,50.0,2
Zona Austral,Pobreza multidimensional,Rural,Mujer,Mayor (60+),II,71.0,4
Zona Austral,Pobreza multidimensional,Rural,Mujer,Mayor (60+),III,25.0,3
Zona Austral,Pobreza multidimensional,Rural,Mujer,Mayor (60+),IV,10.0,1
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),I,100.0,4
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),II,365.0,12
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),III,434.0,14
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),IV,160.0,4
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),V,37.0,1
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),II,73.0,1
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),III,56.0,2
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),I,45.0,2
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),II,143.0,5
Zona Austral,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),III,239.0,8
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),I,112.0,4
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),II,570.0,22
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),III,339.0,12
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),IV,58.0,3
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),V,31.0,1
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),II,46.0,1
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),III,34.0,1
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),IV,105.0,4
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),I,277.0,10
Zona Austral,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),II,197.0,9
